gap_type,student_id,workflow_id,department,days_elapsed,confidence,priority,leading_signal,reason,evidence
incomplete_or_overdue_action_plan,S0333,AP0122,Academic Advising,49,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0122, completion_status=incomplete, completion_percentage=26"
incomplete_or_overdue_action_plan,S0624,AP0207,Counseling,48,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0207, completion_status=incomplete, completion_percentage=52"
incomplete_or_overdue_action_plan,S0699,AP0235,Academic Advising,48,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0235, completion_status=partially_completed, completion_percentage=34"
stale_open_referral,S0108,WF00077,Financial Aid,47,High,Medium,referral open past the configured threshold,"Referral opened 47 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00122, status=open, owner=ST012"
stale_open_referral,S0020,WF00016,Unknown,47,High,Medium,referral open past the configured threshold,"Referral opened 47 days ago at Unknown is still open, past the 21-day threshold.","interaction_id=SI00025, status=open, owner=none"
unowned_workflow_step,S0122,WF00086,Counseling,47,High,Medium,handoff logged with no named owner,Handoff at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00138, interaction_type=handoff, status=open"
unowned_workflow_step,S0020,WF00016,Unknown,47,High,Medium,referral logged with no named owner,Referral at Unknown has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00025, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0202,AP0067,Academic Advising,47,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0067, completion_status=incomplete, completion_percentage=23"
incomplete_or_overdue_action_plan,S0230,AP0084,Counseling,47,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0084, completion_status=incomplete, completion_percentage=58"
incomplete_or_overdue_action_plan,S0478,AP0168,Academic Advising,47,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0168, completion_status=incomplete, completion_percentage=50"
incomplete_or_overdue_action_plan,S0591,AP0194,Counseling,47,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0194, completion_status=partially_completed, completion_percentage=26"
unowned_workflow_step,S0539,WF00363,Academic Advising,46,High,Medium,check_in logged with no named owner,Check in at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00590, interaction_type=check_in, status=open"
incomplete_or_overdue_action_plan,S0057,AP0023,Counseling,46,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0023, completion_status=incomplete, completion_percentage=27"
stale_open_referral,S0322,WF00234,Counseling,45,High,Medium,referral open past the configured threshold,"Referral opened 45 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00365, status=open, owner=none"
stale_open_referral,S0297,WF00218,Financial Aid,45,High,Medium,referral open past the configured threshold,"Referral opened 45 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00342, status=open, owner=ST011"
unowned_workflow_step,S0322,WF00234,Counseling,45,High,Medium,referral logged with no named owner,Referral at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00365, interaction_type=referral, status=open"
stale_open_referral,S0246,WF00180,Counseling,42,High,Medium,referral open past the configured threshold,"Referral opened 42 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00272, status=open, owner=none"
stale_open_referral,S0239,WF00176,Financial Aid,42,High,Medium,referral open past the configured threshold,"Referral opened 42 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00266, status=open, owner=ST011"
stale_open_referral,S0563,WF00385,Academic Advising,42,High,Medium,referral open past the configured threshold,"Referral opened 42 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00627, status=open, owner=none"
unowned_workflow_step,S0246,WF00180,Counseling,42,High,Medium,referral logged with no named owner,Referral at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00272, interaction_type=referral, status=open"
unowned_workflow_step,S0563,WF00385,Academic Advising,42,High,Medium,referral logged with no named owner,Referral at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00627, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0132,AP0048,Academic Advising,42,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0048, completion_status=partially_completed, completion_percentage=63"
incomplete_or_overdue_action_plan,S0238,AP0087,Counseling,41,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0087, completion_status=partially_completed, completion_percentage=48"
stale_open_referral,S0246,WF00180,Counseling,40,High,Medium,referral open past the configured threshold,"Referral opened 40 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00274, status=open, owner=ST003"
incomplete_or_overdue_action_plan,S0206,AP0070,Academic Advising,40,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0070, completion_status=partially_completed, completion_percentage=52"
incomplete_or_overdue_action_plan,S0581,AP0188,Academic Advising,40,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0188, completion_status=partially_completed, completion_percentage=40"
stale_open_referral,S0515,WF00340,Residential Life,39,High,Medium,referral open past the configured threshold,"Referral opened 39 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00554, status=open, owner=ST017"
unowned_workflow_step,S0256,WF00186,Academic Advising,39,High,Medium,handoff logged with no named owner,Handoff at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00284, interaction_type=handoff, status=open"
incomplete_or_overdue_action_plan,S0020,AP0010,Counseling,39,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0010, completion_status=partially_completed, completion_percentage=59"
stale_open_referral,S0246,WF00180,Counseling,38,High,Medium,referral open past the configured threshold,"Referral opened 38 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00273, status=open, owner=none"
unowned_workflow_step,S0246,WF00180,Counseling,38,High,Medium,referral logged with no named owner,Referral at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00273, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0002,AP0002,Academic Advising,38,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0002, completion_status=partially_completed, completion_percentage=100"
incomplete_or_overdue_action_plan,S0065,AP0026,Academic Advising,38,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0026, completion_status=partially_completed, completion_percentage=23"
incomplete_or_overdue_action_plan,S0216,AP0075,Academic Advising,38,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0075, completion_status=partially_completed, completion_percentage=41"
incomplete_or_overdue_action_plan,S0330,AP0121,Counseling,38,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0121, completion_status=incomplete, completion_percentage=47"
stale_open_referral,S0640,WF00439,Academic Advising,35,High,Medium,referral open past the configured threshold,"Referral opened 35 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00700, status=open, owner=none"
unowned_workflow_step,S0537,WF00361,Counseling,35,High,Medium,check_in logged with no named owner,Check in at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00587, interaction_type=check_in, status=open"
unowned_workflow_step,S0640,WF00439,Academic Advising,35,High,Medium,referral logged with no named owner,Referral at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00700, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0537,AP0179,Academic Advising,35,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0179, completion_status=partially_completed, completion_percentage=50"
stale_open_referral,S0548,WF00367,Academic Advising,34,High,Medium,referral open past the configured threshold,"Referral opened 34 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00596, status=open, owner=ST008"
unowned_workflow_step,S0246,WF00179,Academic Advising,34,High,Medium,check_in logged with no named owner,Check in at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00271, interaction_type=check_in, status=pending"
incomplete_or_overdue_action_plan,S0498,AP0170,Counseling,34,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0170, completion_status=incomplete, completion_percentage=11"
stale_open_referral,S0515,WF00339,Financial Aid,33,High,Medium,referral open past the configured threshold,"Referral opened 33 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00551, status=open, owner=ST011"
stale_open_referral,S0640,WF00439,Academic Advising,33,High,Medium,referral open past the configured threshold,"Referral opened 33 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00701, status=open, owner=none"
unowned_workflow_step,S0640,WF00439,Academic Advising,33,High,Medium,referral logged with no named owner,Referral at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00701, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0009,AP0006,Academic Advising,33,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0006, completion_status=partially_completed, completion_percentage=25"
stale_open_referral,S0256,WF00188,Dean of Students,32,High,Medium,referral open past the configured threshold,"Referral opened 32 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00287, status=open, owner=ST015"
stale_open_referral,S0640,WF00440,Dean of Students,32,High,Medium,referral open past the configured threshold,"Referral opened 32 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00702, status=open, owner=ST014"
no_later_follow_up,S0256,WF00188,Dean of Students,32,High,Medium,referral with nothing recorded after it,Referral at Dean of Students 32 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00287, status=open"
no_later_follow_up,S0640,WF00440,Dean of Students,32,High,Medium,referral with nothing recorded after it,Referral at Dean of Students 32 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00702, status=open"
incomplete_or_overdue_action_plan,S0582,AP0189,Academic Advising,32,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0189, completion_status=incomplete, completion_percentage=60"
stale_open_referral,S0273,WF00198,Counseling,31,High,Medium,referral open past the configured threshold,"Referral opened 31 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00306, status=open, owner=none"
stale_open_referral,S0081,WF00059,Financial Aid,31,High,Medium,referral open past the configured threshold,"Referral opened 31 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00093, status=open, owner=ST013"
stale_open_referral,S0515,WF00339,Financial Aid,31,High,Medium,referral open past the configured threshold,"Referral opened 31 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00552, status=open, owner=ST013"
stale_open_referral,S0591,WF00406,Academic Advising,31,High,Medium,referral open past the configured threshold,"Referral opened 31 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00655, status=open, owner=ST006"
stale_open_referral,S0036,WF00033,Academic Advising,31,High,Medium,referral open past the configured threshold,"Referral opened 31 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00055, status=open, owner=none"
unowned_workflow_step,S0273,WF00198,Counseling,31,High,Medium,referral logged with no named owner,Referral at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00306, interaction_type=referral, status=open"
unowned_workflow_step,S0036,WF00033,Academic Advising,31,High,Medium,referral logged with no named owner,Referral at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00055, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0061,AP0025,Counseling,31,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0025, completion_status=incomplete, completion_percentage=38"
incomplete_or_overdue_action_plan,S0224,AP0079,Academic Advising,31,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0079, completion_status=partially_completed, completion_percentage=55"
incomplete_or_overdue_action_plan,S0312,AP0114,Academic Advising,31,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0114, completion_status=partially_completed, completion_percentage=66"
incomplete_or_overdue_action_plan,S0617,AP0204,Academic Advising,31,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0204, completion_status=incomplete, completion_percentage=57"
stale_open_referral,S0036,WF00033,Academic Advising,30,High,Medium,referral open past the configured threshold,"Referral opened 30 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00054, status=open, owner=none"
unowned_workflow_step,S0036,WF00033,Academic Advising,30,High,Medium,referral logged with no named owner,Referral at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00054, interaction_type=referral, status=open"
unowned_workflow_step,S0555,WF00375,Counseling,30,High,Medium,handoff logged with no named owner,Handoff at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00613, interaction_type=handoff, status=open"
no_later_follow_up,S0316,WF00229,Dean of Students,29,High,Medium,check_in with nothing recorded after it,Check in at Dean of Students 29 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00358, status=open"
incomplete_or_overdue_action_plan,S0111,AP0039,Counseling,28,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0039, completion_status=incomplete, completion_percentage=8"
incomplete_or_overdue_action_plan,S0120,AP0042,Academic Advising,28,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0042, completion_status=partially_completed, completion_percentage=37"
incomplete_or_overdue_action_plan,S0571,AP0185,Academic Advising,28,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0185, completion_status=partially_completed, completion_percentage=34"
stale_open_referral,S0539,WF00364,Residential Life,27,Medium,Medium,referral open past the configured threshold,"Referral opened 27 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00591, status=pending, owner=none"
unowned_workflow_step,S0027,WF00020,Academic Advising,27,High,Medium,check_in logged with no named owner,Check in at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00032, interaction_type=check_in, status=open"
unowned_workflow_step,S0036,WF00032,Financial Aid,27,High,Medium,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00052, interaction_type=check_in, status=open"
unowned_workflow_step,S0671,WF00456,Dean of Students,27,High,Medium,check_in logged with no named owner,Check in at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00723, interaction_type=check_in, status=open"
unowned_workflow_step,S0537,WF00362,Financial Aid,27,High,Medium,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00588, interaction_type=check_in, status=open"
unowned_workflow_step,S0539,WF00364,Residential Life,27,High,Medium,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00591, interaction_type=referral, status=pending"
unowned_workflow_step,S0385,WF00274,Academic Advising,27,High,Medium,handoff logged with no named owner,Handoff at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00429, interaction_type=handoff, status=open"
no_later_follow_up,S0036,WF00032,Financial Aid,27,Medium,Medium,check_in with nothing recorded after it,Check in at Financial Aid 27 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00052, status=open"
incomplete_or_overdue_action_plan,S0181,AP0063,Residential Life,27,High,Medium,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0063, completion_status=incomplete, completion_percentage=25"
incomplete_or_overdue_action_plan,S0272,AP0102,Counseling,27,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0102, completion_status=partially_completed, completion_percentage=40"
incomplete_or_overdue_action_plan,S0657,AP0220,Financial Aid,27,High,Medium,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0220, completion_status=partially_completed, completion_percentage=62"
stale_open_referral,S0528,WF00353,Financial Aid,26,Medium,Medium,referral open past the configured threshold,"Referral opened 26 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00574, status=open, owner=none"
stale_open_referral,S0293,WF00213,Residential Life,26,Medium,Medium,referral open past the configured threshold,"Referral opened 26 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00333, status=open, owner=ST016"
unowned_workflow_step,S0067,WF00054,Counseling,26,High,Medium,check_in logged with no named owner,Check in at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00085, interaction_type=check_in, status=open"
unowned_workflow_step,S0052,WF00041,Dean of Students,26,High,Medium,handoff logged with no named owner,Handoff at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00067, interaction_type=handoff, status=open"
unowned_workflow_step,S0528,WF00353,Financial Aid,26,High,Medium,referral logged with no named owner,Referral at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00574, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0216,AP0074,Financial Aid,26,High,Medium,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0074, completion_status=incomplete, completion_percentage=11"
incomplete_or_overdue_action_plan,S0303,AP0110,Counseling,26,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0110, completion_status=partially_completed, completion_percentage=51"
incomplete_or_overdue_action_plan,S0676,AP0226,Counseling,26,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0226, completion_status=incomplete, completion_percentage=39"
stale_open_referral,S0498,WF00328,Dean of Students,25,Medium,Medium,referral open past the configured threshold,"Referral opened 25 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00531, status=open, owner=none"
stale_open_referral,S0539,WF00364,Residential Life,25,Medium,Medium,referral open past the configured threshold,"Referral opened 25 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00592, status=open, owner=ST018"
unowned_workflow_step,S0498,WF00328,Dean of Students,25,High,Medium,referral logged with no named owner,Referral at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00531, interaction_type=referral, status=open"
unowned_workflow_step,S0411,WF00285,Counseling,25,High,Medium,check_in logged with no named owner,Check in at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00450, interaction_type=check_in, status=open"
unowned_workflow_step,S0385,WF00274,Academic Advising,25,High,Medium,check_in logged with no named owner,Check in at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00431, interaction_type=check_in, status=open"
no_later_follow_up,S0539,WF00364,Residential Life,25,Medium,Medium,referral with nothing recorded after it,Referral at Residential Life 25 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00592, status=open"
incomplete_or_overdue_action_plan,S0257,AP0096,Counseling,25,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0096, completion_status=incomplete, completion_percentage=31"
incomplete_or_overdue_action_plan,S0417,AP0149,Dean of Students,25,High,Medium,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0149, completion_status=partially_completed, completion_percentage=35"
incomplete_or_overdue_action_plan,S0599,AP0197,Counseling,25,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0197, completion_status=incomplete, completion_percentage=35"
stale_open_referral,S0061,WF00047,Counseling,24,Medium,Medium,referral open past the configured threshold,"Referral opened 24 days ago at Counseling is still open, past the 21-day threshold.","interaction_id=SI00073, status=open, owner=none"
unowned_workflow_step,S0334,WF00244,Financial Aid,24,High,Medium,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00381, interaction_type=check_in, status=open"
unowned_workflow_step,S0563,WF00384,Academic Advising,24,High,Medium,check_in logged with no named owner,Check in at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00626, interaction_type=check_in, status=open"
unowned_workflow_step,S0061,WF00047,Counseling,24,High,Medium,referral logged with no named owner,Referral at Counseling has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00073, interaction_type=referral, status=open"
no_later_follow_up,S0563,WF00384,Academic Advising,24,Medium,Medium,check_in with nothing recorded after it,Check in at Academic Advising 24 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00626, status=open"
incomplete_or_overdue_action_plan,S0174,AP0060,Financial Aid,24,High,Medium,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0060, completion_status=incomplete, completion_percentage=26"
incomplete_or_overdue_action_plan,S0298,AP0109,Counseling,24,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0109, completion_status=partially_completed, completion_percentage=42"
incomplete_or_overdue_action_plan,S0518,AP0174,Financial Aid,24,High,Medium,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0174, completion_status=incomplete, completion_percentage=11"
incomplete_or_overdue_action_plan,S0528,AP0177,Academic Advising,24,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0177, completion_status=incomplete, completion_percentage=30"
incomplete_or_overdue_action_plan,S0587,AP0191,Residential Life,24,High,Medium,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0191, completion_status=incomplete, completion_percentage=32"
incomplete_or_overdue_action_plan,S0672,AP0224,Counseling,24,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0224, completion_status=partially_completed, completion_percentage=62"
stale_open_referral,S0671,WF00456,Dean of Students,23,Medium,Medium,referral open past the configured threshold,"Referral opened 23 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00724, status=open, owner=ST015"
no_later_follow_up,S0671,WF00456,Dean of Students,23,Medium,Medium,referral with nothing recorded after it,Referral at Dean of Students 23 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00724, status=open"
no_later_follow_up,S0537,WF00362,Financial Aid,23,Medium,Medium,check_in with nothing recorded after it,Check in at Financial Aid 23 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00589, status=open"
stale_open_referral,S0548,WF00368,Residential Life,21,Medium,Medium,referral open past the configured threshold,"Referral opened 21 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00597, status=open, owner=none"
stale_open_referral,S0692,WF00479,Financial Aid,21,Medium,Medium,referral open past the configured threshold,"Referral opened 21 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00760, status=pending, owner=ST013"
stale_open_referral,S0122,WF00084,Dean of Students,21,Medium,Medium,referral open past the configured threshold,"Referral opened 21 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00135, status=open, owner=ST014"
unowned_workflow_step,S0548,WF00368,Residential Life,21,High,Medium,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00597, interaction_type=referral, status=open"
uncoordinated_multi_department,S0476,"WF00317,WF00318",Academic Advising + Counseling,21,Medium,Medium,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Counseling) with no indication either department is aware of the other.","interaction_ids=SI00511,SI00509,SI00510,SI00508,SI00512,SI00513"
incomplete_or_overdue_action_plan,S0157,AP0055,Academic Advising,21,High,Medium,action plan overdue with no completion recorded,Action plan at Academic Advising passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0055, completion_status=partially_completed, completion_percentage=51"
incomplete_or_overdue_action_plan,S0354,AP0131,Counseling,21,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0131, completion_status=incomplete, completion_percentage=39"
unowned_workflow_step,S0061,WF00049,Academic Advising,20,High,Medium,handoff logged with no named owner,Handoff at Academic Advising has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00076, interaction_type=handoff, status=open"
incomplete_or_overdue_action_plan,S0239,AP0090,Counseling,20,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0090, completion_status=incomplete, completion_percentage=39"
incomplete_or_overdue_action_plan,S0617,AP0203,Financial Aid,20,Medium,Medium,action plan marked incomplete,Action plan at Financial Aid is marked incomplete (47% complete).,"plan_id=AP0203, completion_status=incomplete, completion_percentage=47"
unowned_workflow_step,S0103,WF00070,Financial Aid,19,High,Medium,referral logged with no named owner,Referral at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00109, interaction_type=referral, status=open"
incomplete_or_overdue_action_plan,S0205,AP0069,Dean of Students,19,High,Medium,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0069, completion_status=incomplete, completion_percentage=55"
incomplete_or_overdue_action_plan,S0388,AP0141,Dean of Students,19,High,Medium,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0141, completion_status=partially_completed, completion_percentage=45"
incomplete_or_overdue_action_plan,S0412,AP0147,Residential Life,19,Medium,Medium,action plan marked incomplete,Action plan at Residential Life is marked incomplete (17% complete).,"plan_id=AP0147, completion_status=incomplete, completion_percentage=17"
incomplete_or_overdue_action_plan,S0591,AP0193,Residential Life,19,Medium,Medium,action plan marked incomplete,Action plan at Residential Life is marked incomplete (8% complete).,"plan_id=AP0193, completion_status=incomplete, completion_percentage=8"
unowned_workflow_step,S0225,WF00169,Dean of Students,18,High,Medium,handoff logged with no named owner,Handoff at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00255, interaction_type=handoff, status=open"
unowned_workflow_step,S0143,WF00099,Financial Aid,18,High,Medium,referral logged with no named owner,Referral at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00152, interaction_type=referral, status=open"
unowned_workflow_step,S0157,WF00108,Residential Life,18,High,Medium,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00164, interaction_type=referral, status=open"
unowned_workflow_step,S0360,WF00258,Residential Life,18,High,Medium,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00403, interaction_type=referral, status=open"
